dates,company,member,title
2006,,rachel-schunk-b60bb912,Hope Corps Assistant
2006,,rachel-schunk-b60bb912,Donor Services Administrator
2002,,rachel-schunk-b60bb912,Youth Director
2002,Dentistry for Children,sara-yawn-1277a894,Government Billing Supervisor
March 2001,Atlanta Ophthalmology Associates,sara-yawn-1277a894,Front Desk & Assisting
,Enterprise Rent-A-Car,natashateal,Manager Assistant
May 2016,Enterprise Rent-A-Car,natashateal,Manager Assistant
June 2015,Enterprise Rent-A-Car,natashateal,Manager Trainee
July 2014,Convergys Customer Management Canada Inc,natashateal,Contact Representative
July 2013,The UPS Store,natashateal,Graphic Designer
August 2012,Austin Peay State University,natashateal,Graduate Assistant
June 2013,Austin Peay State University,natashateal,Student Assistant; Video Editor at the Center for Extended & Distance Education
May 2012,A.O. Smith,natashateal,Internship Trainee
August 2011,Austin Peay State University,natashateal,Resident Hall Director
August 2010,Austin Peay State University,natashateal,Resident Assistant
2013,,natashateal,
1991,Tyson Foods,joyce-reed-ab52bb64,Community Relations Mgr.
July 2015,Turner Construction Company,william-bryant-b2839063,SPD Project Manager
January 2012,Turner Construction Company,william-bryant-b2839063,Superintendent
July 2009,Turner Construction Company,william-bryant-b2839063,Assistant Superintendent
August 2008,Turner Construction Company,william-bryant-b2839063,Field Engineer
August 2007,Stellar,william-bryant-b2839063,Assistant Project Manager Intern
June 2007,Turner Construction Company,william-bryant-b2839063,Field Engineer Intern
January 2015,,pete-bell-2121685,Chief Marketing Officer
May 2011,Papa Gino's and D'Angelo Grilled Sandwiches,pete-bell-2121685,Chief Marketing Officer
January 2008,Smokey Bones,pete-bell-2121685,Chief Marketing Officer
July 1999,Friendly Ice Cream Corporation,pete-bell-2121685,VP Marketing
1996,Boston Market,pete-bell-2121685,Director Marketing
1995,,pete-bell-2121685,Account Supervisor
October 2015,,brandywmangrum,Marketing Coordinator
July 2013,SRS Acquistions Corporation,brandywmangrum,Inside Sales Representative
August 2012,Sutter Roofing Co of Florida,brandywmangrum,Service Repair Coordinator
August 2006,"Central Florida Chapter Associated Builders and Contractors, Inc.",brandywmangrum,Member Services
August 2012,Monroe County School District,joy-nulisch-307a97b9,IT Director
August 1986,Monroe County School District,joy-nulisch-307a97b9,Monroe County Schools
July 2000,Monroe County School District,joy-nulisch-307a97b9,Computer Network Specialist
July 1996,Monroe County School District,joy-nulisch-307a97b9,Technolgy Technician
August 1986,Monroe County School District,joy-nulisch-307a97b9,Computer Lab Manager
August 2001,,kevin-johnson-7b3ba913,Vice President
2000,Jones Lang LaSalle,kevin-johnson-7b3ba913,Project Manager
1998,,kevin-johnson-7b3ba913,Construction Manager
1995,The Whiting-Turner Contracting Company,kevin-johnson-7b3ba913,Project Manager
February 2005,,justin-dewitt-85045a38,VP of Construction
January 2003,Engle Homes,justin-dewitt-85045a38,Superintendent
March 2014,,lauren-turner-bb19a559,Teacher
August 2013,,lauren-turner-bb19a559,Owner
November 2010,,lauren-turner-bb19a559,Teacher
February 2001,,lauren-turner-bb19a559,Before and After School Care Lead
2014,Ortega Juneau Construction Company,steven-roth-b9780a14,Construction Operations Manager
2012,Suffolk Construction,steven-roth-b9780a14,Project Executive
2009,Plaza Construction,steven-roth-b9780a14,Project Executive
2004,,steven-roth-b9780a14,Executive Vice President
1992,,steven-roth-b9780a14,Project Executive
June 1988,TGSV,steven-roth-b9780a14,Assistant Project Manager
May 2013,Hitachi Data Systems,robertlstevenson,HDS Chief Marketing Strategist / Hitachi IoT Strategist
March 2013,,robertlstevenson,Engineering Sales
February 2012,Isilon Systems,robertlstevenson,Chief Technology Officer
March 2010,XIO,robertlstevenson,Chief Enterprise Architect
September 2005,TheInfoPro,robertlstevenson,Managing Director
January 2001,Nielsen Media Research,robertlstevenson,Technology Strategist
September 1997,Sun Microsystems,robertlstevenson,Managing Consultant
January 1994,Ernst & Young Management Consulting,robertlstevenson,Consultant
January 1991,Motorola,robertlstevenson,Researcher
December 1989,United States Marine Corps,robertlstevenson,Corporal
March 2015,Allstate,ashley-thomas-riddell-5b786942,"Sourcing Consultant, HR Talent Acquisition"
January 2014,"Axiom Technology Group, Inc.",ashley-thomas-riddell-5b786942,Recruiter
January 2013,GE Aviation,ashley-thomas-riddell-5b786942,Human Resources Intern
May 2011,Wieland-Werke AG,ashley-thomas-riddell-5b786942,HR Assistant
May 2012,,ashley-thomas-riddell-5b786942,
,,ashley-thomas-riddell-5b786942,
August 2015,Halliburton,megan-rice-8013442a,Global Mid-Career Recruiter - Drilling & Evaluation
June 2014,Halliburton,megan-rice-8013442a,Global Mid-Career Recruiter - Baroid
August 2013,University of South Dakota Sorority & Fraternity Life,zachdavelaar,Graduate Assistant
May 2013,,zachdavelaar,Extern
1995,,zachdavelaar,Farm Hand
May 2012,,zachdavelaar,Employee
May 2008,,zachdavelaar,Employee
January 2011,American Legislative Exchange Council,zachdavelaar,Membership & Development and Policy Intern
August 2008,Dordt College,zachdavelaar,Intramural Council
August 2007,Dordt College,zachdavelaar,Football Manager
,,sarah-yawn-a1579b5b,massage therapist
August 2010,Turner Construction,kristin-gray-leed-ap-80504919,Assistant Engineer
August 2007,,kristin-gray-leed-ap-80504919,Project Engineer
June 2008,The Beck Group,kristin-gray-leed-ap-80504919,Intern
May 2007,,kristin-gray-leed-ap-80504919,Intern
March 2015,Turner Construction Company,meridith-simeone-0184119,Construction Management
August 2012,,meridith-simeone-0184119,Construction Manager
March 2009,,meridith-simeone-0184119,Project Manager
February 2005,Turner Construction,meridith-simeone-0184119,Assistant Project Manager
March 1998,Delta Air Lines,meridith-simeone-0184119,Customer Service Representative
November 2015,,caitlinvrcek,Senior Marketing Manager
April 2013,Day Star Restaurant Group - Texas Land & Cattle / Lone Star Steakhouse,caitlinvrcek,Senior Marketing Manager
March 2012,Romano's Macaroni Grill,caitlinvrcek,Marketing Manager
January 2011,International Speakers Bureau,caitlinvrcek,Assistant Marketing Manager
July 2009,360 Public Relations,caitlinvrcek,Account Coordinator
March 2008,Tory Burch,caitlinvrcek,Public Relations Assistant
October 2007,,caitlinvrcek,Fashion & Beauty Intern
August 2007,,caitlinvrcek,Fashion Intern
July 2013,Turner Construction,kenneth-bell-3026964b,Project Safety Manager
2009,,kenneth-bell-3026964b,Safety Manager
2009,,kenneth-bell-3026964b,Safety Manager
November 2002,"Epoxy Flooring Solutions, Inc.",stephanie-stewart-a1094269,"CFO, COO, OM, PM, SDC, Estimator"
2015,TDC Kyocera,rjsahi,Client Partner
2011,LaserNetworks,rjsahi,Senior Client Manager
2009,,rjsahi,"Co-Founder, Entrepreneur, New Business Development"
2006,Kohl & Frisch Limited,rjsahi,"Project Manager, Business Process Transformation"
2004,BOMBARDIER - MHI Canada Aerospace,rjsahi,Project Coordinator
2010,,rjsahi,
2004,,rjsahi,
2016,,rjsahi,
June 2011,Monroe County School District,valerie-mercer-707a9937,Chief Technology Officer
July 2011,,shawna-may-a6b15511,Director of IT
July 2010,,shawna-may-a6b15511,Coordinator of Instructional Technology
August 2005,,shawna-may-a6b15511,Teacher on Special Assignment/Tech Facilitator
2007,,shawna-may-a6b15511,Master Digital Educator
1999,,shawna-may-a6b15511,Teacher
September 2014,,william-quattlebaum-6259a419,Senior Project Manager
January 2010,,william-quattlebaum-6259a419,Owner
July 2012,Moe's Southwest Grill,william-quattlebaum-6259a419,District Manager
January 2008,"Clark Construction Services, Inc",william-quattlebaum-6259a419,Senior Project Manager
May 2004,"Hull Storey Gibson Properties, LLC",william-quattlebaum-6259a419,Construction Manager/ Property Manager
2008,Augusta Richmond County,william-quattlebaum-6259a419,Tax Assessor
March 1995,United States Marine Corps,william-quattlebaum-6259a419,Logistics Chief
2000,,gina-posta-johnson-04008735,President
February 2015,Ortega Juneau Construction Company,sanjay-hirani-4b377016,Director of Preconstruction
March 2005,John Moriarty & Associates,sanjay-hirani-4b377016,Chief Estimator
March 2016,Plaza Construction,douglas-wells-79714410,Operations Manager
January 2015,Suffolk Construction,douglas-wells-79714410,Vice President of Operations
July 2011,Moss & Associates,douglas-wells-79714410,Vice President
December 2008,AIM Construction Contracting,douglas-wells-79714410,Executive Vice President
June 2007,Bovis Lend Lease,douglas-wells-79714410,Vice President / Operations Director
February 1990,Balfour Beatty Construction,douglas-wells-79714410,Vice President Business Unit Leader
,,douglas-wells-79714410,
June 2014,Tutor Perini Building Corp,scott-prince-leed-ap-59b10924,Project Executive
June 2007,Suffolk Construction,scott-prince-leed-ap-59b10924,Project Executive
January 2005,,scott-prince-leed-ap-59b10924,Senior Project Manager
1999,The Haskell Company,scott-prince-leed-ap-59b10924,Senior Project Manager
July 2006,Halliburton,liz-breon-80b29a13,Sr. Recruiter
2006,Halliburton,liz-breon-80b29a13,Sr. Staffing Recruiter
August 2014,Halliburton,kitdillon,Executive Recruiter
May 2013,Shell,kitdillon,Recruitment
January 2012,,kitdillon,Project Manager
April 2010,,kitdillon,Account Manager
June 2009,,kitdillon,Recruitment Consultant
October 2007,,kitdillon,Development Coordinator
February 2015,Halliburton,nataliavitale,"Global Recruiting Team Lead - Consulting & Project Management, Technology, Support Functions"
September 2014,Turner Construction Company,liane-fongyee-5a894666,Assistant Estimating Engineer
June 2014,Turner Construction Company,liane-fongyee-5a894666,Intern
April 2012,University of Florida,liane-fongyee-5a894666,Student Assistant - Clerical & Admin
June 2013,,liane-fongyee-5a894666,Assistant Project Manager/Draftsperson
,Seeking full-time or contract recruiting position - open to relocation or up to 75% travel,michelle-morris-10188641,Recruiter
June 2011,Halliburton,michelle-morris-10188641,Gulf of Mexico Recruiter (HR)
May 2000,Louisiana Workforce Commission,michelle-morris-10188641,Workforce Development Officer
September 2009,University of Florida,liane-fongyee-5a894666,Student Assistant - Non-clerical & Admin
March 2016,Colliers International | Atlanta,emily-pensy-richardson-73bab514,"Associate, Office Services Group"
November 2012,Office Images,emily-pensy-richardson-73bab514,VP of Business Development
April 2012,Turner Construction,emily-pensy-richardson-73bab514,Preconstruction Manager
July 2009,Turner Construction,emily-pensy-richardson-73bab514,Project Manager
January 2016,Gilbane Building Company,jessie-ladson-353855a1,Project Manager
June 2015,Gilbane Building Company,jessie-ladson-353855a1,Project Engineer
April 2014,"Andrew General Contractors, Inc.",jessie-ladson-353855a1,Project Manager
January 2010,Turner Construction Company,jessie-ladson-353855a1,Project Engineer
June 2015,,jessie-ladson-353855a1,
March 2014,Boston's Restaurant & Sports Bar,scott-richter-5b20989,Director of Marketing
April 2012,Lone Star Steakhouse / Texas Land & Cattle,scott-richter-5b20989,Director of Marketing
January 2011,,scott-richter-5b20989,Field Marketing Director
October 2008,Pizza Inn,scott-richter-5b20989,Sr. Director of Marketing
June 2005,"Razor, Dallas, TX",scott-richter-5b20989,Sr. Media Director
January 2000,"Euro Retail (SWJ), Dallas, TX",scott-richter-5b20989,"Media Director, Client Service"
February 1998,"GSD&M Austin, TX",scott-richter-5b20989,Print Supervisor
July 1996,"Market Place Print, Pittsburgh, PA (Division of MARC Advertising)",scott-richter-5b20989,Media Services Supervisor/Director
August 1993,"MARC Advertising, Pittsburgh, PA",scott-richter-5b20989,Account Executive/Media Planner
January 2014,Barton Malow Company,alex-delgado-9a89a373,Safety Manager - Southeast Region
August 2011,"Brasfield & Gorrie, LLC",alex-delgado-9a89a373,Senior Safety & Health Manager
January 2007,,alex-delgado-9a89a373,Safety Director
May 2002,PepsiCo - Frito Lay,alex-delgado-9a89a373,Regional Safety Manager
August 2014,Pacesetter Personnel Services,jeanninepps,Account Manager
August 2014,Pacesetter Personnel Services,jeanninepps,Account Manager
April 2015,Johnson-Laux Construction,jeffreycbush,L.E.E.D. Manager
July 2012,,jeffreycbush,Commercial Sales Manager
September 2002,Sherwin Williams,jeffreycbush,General Manager
March 2000,,jeffreycbush,Physics Instructor
January 2016,T&G Constructors,justin-mccullough-1a8b5018,Estimator
July 2014,T&G Constructors,justin-mccullough-1a8b5018,Junior Estimator
May 2013,,justin-mccullough-1a8b5018,Estimating Coordinator
June 2008,,justin-mccullough-1a8b5018,Senior Technician
January 2006,,justin-mccullough-1a8b5018,Project Manager
,"Fundamental Technologies, LLC",thomas-armstrong-a53b1213,VP Development
August 2002,,justin-mccullough-1a8b5018,Field Technician
July 2014,,mark-j-parello-sr-b2011017,General Superintendent
January 2014,Ortega Juneau Construction Company,faith-bejarano-25638a5a,Senior Construction Engineer
January 2014,Ortega Juneau Construction Company,faith-bejarano-25638a5a,Senior Construction Engineer
November 1999,,jimmy-melton-677352b,VP
June 2014,Ortega Juneau Construction,cheri-m-gonzalez-2627674,Project Administrator
June 2012,Stiles Construction Corporation,cheri-m-gonzalez-2627674,Project Administrator
February 2005,Biolex Therapeutics,cheri-m-gonzalez-2627674,Executive Assistant to COO-Sr VP R&D
March 1999,"United Migrant Opportunity Services, Inc.",cheri-m-gonzalez-2627674,Executive Assistant/Employment Verification Specialist/Office Manager
October 2000,,cheri-m-gonzalez-2627674,Executive Coordinator
January 1997,,cheri-m-gonzalez-2627674,Board Secretary/Treasurer
February 1995,,cheri-m-gonzalez-2627674,Administrative Assistant III
,,cheri-m-gonzalez-2627674,
,,cheri-m-gonzalez-2627674,
,,cheri-m-gonzalez-2627674,
,,cheri-m-gonzalez-2627674,
April 2015,Halliburton,fatima-noor-85050947,HR Operations Partner
April 2014,Halliburton,fatima-noor-85050947,HR Generalist
August 2013,Halliburton,fatima-noor-85050947,HR Associate
October 2013,Halliburton,bashayer-alshaheen-b8884881,Northern Gulf Recruiter Specialist - Kuwait / Qatar
January 2013,Halliburton,moyassar-al-kharouf-3b372316,Recruiting Specialist
July 2014,Society of Petroleum Engineers,moyassar-al-kharouf-3b372316,Student Outreach & Ambassador Team Lead
May 2012,Willis,moyassar-al-kharouf-3b372316,Senior Account Administrator
March 2011,Willis,moyassar-al-kharouf-3b372316,Account Administrator
November 2009,Al Sagr Cooperative Insurance Co,moyassar-al-kharouf-3b372316,Underwriter
2008,,moyassar-al-kharouf-3b372316,
2014,,moyassar-al-kharouf-3b372316,
December 2006,AMEC Foster Wheeler,lakshmi-elangovan-23665611,Lead Recruiter - Kuwait
August 2005,Petrofac International,lakshmi-elangovan-23665611,HR Administrator
August 2012,Halliburton,zoie-taylor-29225082,Administrative Specialist
August 2012,Halliburton,zoie-taylor-29225082,Senior Administrative Assistant
February 2012,Teche Federal Bank,zoie-taylor-29225082,Teller
November 2014,,zoie-taylor-29225082,
April 2014,,zoie-taylor-29225082,
March 2013,Gilbane Building Company,cary-shippert-3587b310,Project Executive
November 2010,Hardin Construction,cary-shippert-3587b310,Healthcare Division Manager-Florida
August 2009,,cary-shippert-3587b310,Director of Operations
January 2005,Skanska USA Building Inc.,cary-shippert-3587b310,Project Executive
1995,Kinetic Systems Israel,cary-shippert-3587b310,Operations Mgr
,Barton Malow Company,moeller-sherrie-a7a21463,HR Coordinator
January 2014,Barton Malow Company,sarah-bertolini-phr-b637469,Manager - Total Compensation
2001,Skanska USA Building Group,sarah-bertolini-phr-b637469,Director - Human Resources
January 2001,,sarah-bertolini-phr-b637469,Lead Benefits Administrator
January 1999,,sarah-bertolini-phr-b637469,Benefits Administrator
January 1998,Blue Cross Blue Shield of Michigan,sarah-bertolini-phr-b637469,Customer Advocate
May 2010,Gilbane Building Company,michael-brown-6a969711,Sr. VP Regional Manager
January 2002,,michael-brown-6a969711,Chairman
1998,Gilbane Building Company,michael-brown-6a969711,Vice President-Special Projects Group
April 1998,Gilbane Building Company,michael-brown-6a969711,"Vice President, Regional Manager of Business Development"
1994,Barton Malow Company,michael-brown-6a969711,Project Manager
1992,,michael-brown-6a969711,Vice President Operations
1988,Turner Construction,michael-brown-6a969711,Superintendent
August 2015,Gomez Construction - Hensel Phelps Partner,lucinda-cox-592ba912,Safety Engineer
March 2014,"Cornerstone Construction Services, Inc.",lucinda-cox-592ba912,Safety Manager
July 2013,Turner Construction Company,lucinda-cox-592ba912,Project Safety Manager - Contract
June 2007,"Baker Concrete Construction, Inc.",lucinda-cox-592ba912,Safety Coordinator
September 2015,Austin Commercial,andrew-phillips-05123050,Safety Manager
April 2010,Renewable Energy Systems Americas Inc.,andrew-phillips-05123050,Safety/Environmental Supervisor QA/QC Supervisor
December 2008,"Barnard Construction Company, Inc.",andrew-phillips-05123050,Survey Crew Chief
February 2007,"WilsonMiller, Inc.",andrew-phillips-05123050,Instrument Man/Crew Chief
February 2006,,andrew-phillips-05123050,Instrument Man/Crew Chief
April 2004,Meridian Group,andrew-phillips-05123050,Rod Man/Instrument Man/Crew Chief
July 2014,,elisabeth-bittner-leed-ap-71a3a84,Director Of Design
August 2007,Office Images,elisabeth-bittner-leed-ap-71a3a84,Account Manager
2006,M&M Office Interiors,elisabeth-bittner-leed-ap-71a3a84,Interior Designer
2003,,elisabeth-bittner-leed-ap-71a3a84,Interior Designer
December 2014,T&G Constructors,kathleen-guede-3a688b79,Project Engineer
May 2014,LEGO Construction Co,kathleen-guede-3a688b79,Project Manager/Superintendent
December 2006,,kathleen-guede-3a688b79,CAD Drafter
February 2009,,kathleen-guede-3a688b79,
July 2013,T&G Constructors,john-restrepo-0b472538,Project Manager
May 2008,Exterior Walls Inc.,john-restrepo-0b472538,Project Manager
March 2006,,john-restrepo-0b472538,Project Manager - Operations.
March 2015,T & G Constructors,krista-woodard-a51959a0,Project Coordinator
September 2012,Visit Orlando Meetings & Conventions,krista-woodard-a51959a0,Convention Assistant
2006,Clancy & Theys Construction Company,krista-woodard-a51959a0,Assistant Project Manager
1993,"McCree, Inc.",krista-woodard-a51959a0,Project Expeditor
May 2014,Concorde Construction Co.,jonlotti,"Project Manager, E.I.T."
June 2013,"Yeargin Potter Schackelford Construction, Inc.",jonlotti,"Project Manager, E.I.T."
March 2011,,jonlotti,"Asst. Project Manager, E.I.T."
October 2006,LeChase Construction,jonlotti,Project Engineer
,"Albu & Associates, Inc.",andrew-albu-7519736,Project Manager
2003,"Albu & Associates, Inc.",andrew-albu-7519736,Project Manager
February 2015,Gulf Building LLC,andrewgershon,Project Manager
2012,,andrewgershon,Project Manager
January 2010,,andrewgershon,Adjunct Instructor
2009,Vanderbilt Development Inc.,andrewgershon,Project Manager
September 2005,,andrewgershon,Project Manager
January 2012,Concorde Construction Co.,dan-kerber-7037b0a,Senior Project Manager
October 2007,Concorde Construction Co.,dan-kerber-7037b0a,Project Manager
October 2005,,dan-kerber-7037b0a,Project Manager
January 2001,"Shelco, Inc.",dan-kerber-7037b0a,Project Manager
October 2014,,mohammad-bashir-siddiki-0068a278,HR Coordinator
August 2012,,mohammad-bashir-siddiki-0068a278,HR Coordinator
March 2011,,mohammad-bashir-siddiki-0068a278,Payroll Officer
May 2010,,mohammad-bashir-siddiki-0068a278,HR Executive
June 1977,,charlie-eglin-11b76010,Co-Owner
September 2007,WorleyParsons,gabriela-cosman-72a1379,"RECRUITMENT MANAGER, WORLEYPARSONS KUWAIT"
January 2005,,gabriela-cosman-72a1379,Recruitment and Business Development Manager
December 2002,,gabriela-cosman-72a1379,Senior Human Resources Coordinator
,Skanska USA Building Inc.,cary-shippert-91661113,Project Executive
September 2013,Amec Foster Wheeler,ryan-riley-a2977853,Recruitment Manager - Middle East & Africa
April 2012,Amec Foster Wheeler,ryan-riley-a2977853,"Lead Recruiter - Middle East, Africa & CIS"
February 2011,Systech International.,ryan-riley-a2977853,Head of International Recruitment
July 2010,LBH Consultants,ryan-riley-a2977853,Head of Infrastructure
October 2008,,ryan-riley-a2977853,Regional Sales Representative
February 2008,PGA Europro Tour Ltd,ryan-riley-a2977853,Professional Golfer
April 2003,,ryan-riley-a2977853,Accounts Assistant
June 2011,U.S. Forest Service,zoie-taylor-794890b8,Student Intern
June 2015,Halliburton,jennifershoemaker85,Principle Administrative Specialist
April 2013,Halliburton Production Solutions,jennifershoemaker85,"Sr. Administrative Specialist, Marketing"
June 2008,"Halliburton, Boots & Coots",jennifershoemaker85,Administrative Specialist
July 2007,,jennifershoemaker85,Administrative Assistant
December 2005,,jennifershoemaker85,Account Executive/Administrative Assistant
January 2004,Ranger American,jennifershoemaker85,Administrative Assistant
November 2014,,jennifershoemaker85,
November 2013,,jennifershoemaker85,
May 2016,Moss & Associates Construction Company,julio-rodriguez-4b90331b,Safety Coordinator
December 2013,Facchina,julio-rodriguez-4b90331b,Safety Manager
May 2012,Odebrecht Central JV,julio-rodriguez-4b90331b,Safety Technician
January 2012,,julio-rodriguez-4b90331b,Safety & Quality Control Manager
March 2010,,julio-rodriguez-4b90331b,Safety Coordinator
July 2008,MCM,julio-rodriguez-4b90331b,Project Engineer
May 2016,,kristal-goff-95884734,Interior Designer/Sales Rep
March 2015,Closets By Design,kristal-goff-95884734,Senior Interior Designer
February 2004,,kristal-goff-95884734,Interior Designer
August 2005,Office Images,kate-wilson-71454413,Account Manager
April 2002,,kate-wilson-71454413,Account Manager
2000,Nashville Public Television,kate-wilson-71454413,Volunteer Coordinator
March 2016,Moss & Associates Construction Company,chad-cabrera-leed-ap-cgc-101bb9a8,Assistant Project Manager
December 2014,T&G Constructors,chad-cabrera-leed-ap-cgc-101bb9a8,Project Manager
July 2013,T&G Constructors,chad-cabrera-leed-ap-cgc-101bb9a8,Site Operations Manager
March 2015,Morganti Group Inc,veronica-escobedo-83570b67,Marketing Assistant
November 2011,Skechers,veronica-escobedo-83570b67,Sales Associate
May 2014,The Weitz Company,veronica-escobedo-83570b67,Marketing Intern
January 2014,"VS Media Group, Inc.",veronica-escobedo-83570b67,Marketing/Tourism Sales Intern
March 2013,,veronica-escobedo-83570b67,Community Assistant
September 2015,,veronica-escobedo-83570b67,
May 2014,"Wharton-Smith, Inc.",michelle-whitehead-953867108,Project Assistant
June 2007,Clancy & Theys Construction Company,michelle-whitehead-953867108,Estimating Assistant
May 1998,American Bridge Company,michelle-whitehead-953867108,Project Assistant
July 2007,Concorde Construction Co.,ken-burns-95937047,Vice President
December 1998,JE Dunn Construction,ken-burns-95937047,Project Manager
October 1997,,ken-burns-95937047,Assistant Project Manager
January 1996,Michael Baker International,michelle-whitehead-953867108,Administrative Assistant
April 1999,Washtenaw Community College,dan-kerber-9b028190,Motorcycle Safety RiderCoach
January 2011,Biker Bob's Harley-Davidson Motown,dan-kerber-9b028190,Motorcycle Safety RiderCoach
January 1985,,dan-kerber-9b028190,Retired - Executive Vice President
,Concorde Construction Co.,luke-nelson-56058a120,Sr. Project Manager
July 2005,Kharafi National,mirza-abbas-raza-3b1b291,Senior Recruitment Officer (Assistant Superintendent HR)
August 2004,,mirza-abbas-raza-3b1b291,Human Resources Coordinator
December 2003,Ernst & Young,mirza-abbas-raza-3b1b291,Assistant Human Resources Coordinator
November 2002,Ma Foi Randstad,mirza-abbas-raza-3b1b291,Human Resources Associate
April 2015,Edwards Construction Services Inc.,david-johnston-7695334,Senior Project Manager
July 2012,"Shelco, Inc.",david-johnston-7695334,Senior Project Manager
May 2011,Graycor Construction Company,david-johnston-7695334,Project Manager
July 2006,,david-johnston-7695334,Senior Project Manager
May 2005,,david-johnston-7695334,Project Manager
February 1998,,david-johnston-7695334,Project Manager
January 2016,,justine-malland-7ba334a6,Marketing Coordinator
June 2014,,justine-malland-7ba334a6,Executive Assistant
2016,Skanska USA,lawrence-mack-harrell-52236b62,Superintendent
2012,,lawrence-mack-harrell-52236b62,Assistant Superintendent
June 2014,,donna-fernandes-67863255,Sr. Group Human Resources Business Partner
May 2013,,donna-fernandes-67863255,Senior Human Resources Specialist
May 2012,,donna-fernandes-67863255,Human Resources Officer
May 2010,dnata,donna-fernandes-67863255,Human Resources Officer
April 2008,dnata,donna-fernandes-67863255,Human Resources & Administration Supervisor
September 2006,Crowne Plaza Kuwait,donna-fernandes-67863255,Human Resources Executive
2005,,donna-fernandes-67863255,Accounts Assistant
July 2003,,donna-fernandes-67863255,Sr. Customer Service Executive
September 2012,AMEC,andrew-carpenter-02539120,Senior Recruiter
June 2010,Technip,andrew-carpenter-02539120,Recruitment Officer
2009,,andrew-carpenter-02539120,Client Partner
2008,Atkins,andrew-carpenter-02539120,Recruitment Advisor
2006,Hays,andrew-carpenter-02539120,Recruitment Consultant
January 1999,Barton Malow Company,joe-benvenuto-b8247039,Vice President
April 2015,Coastal Construction Company,alvaro-gomez-25b923b5,Superintendent
December 2006,,alvaro-gomez-25b923b5,Superintendent
September 2013,Odebrecht International,alvaro-gomez-25b923b5,Superintendent
March 2005,"Environmental Interiors, Inc.",alvaro-gomez-25b923b5,Foreman
January 2015,The Walsh Group - Walsh Construction & Archer Western,kristingoodchild,"Director, Business Development"
September 2013,Barton Malow Company,kristingoodchild,"Director, Business Development"
October 2008,Skanska USA Building Inc.,kristingoodchild,"Senior Director, Business Development"
November 2003,CSM Group,kristingoodchild,Senior Project Coordinator/Associate Partner
September 2013,T&G Constructors,james-enriquez-b134aa72,Project Manager
November 2015,,holly-wood-b56ba646,Pharmaceutical Sales Specialist
May 2014,,holly-wood-b56ba646,Pharmaceutical Sales Representative
June 2013,,holly-wood-b56ba646,Independent Sales Consultant
January 2014,,holly-wood-b56ba646,Affiliate Broker
July 2008,,holly-wood-b56ba646,Teacher
November 2001,,holly-wood-b56ba646,Radio Broadcaster
December 2014,T&G Constructors,garrison-salters-37346087,Project Engineer
May 2014,,garrison-salters-37346087,Assistant Superintendent
December 2008,,james-midelis-128b8855,President-CEO
January 2000,,james-midelis-128b8855,VP and Managing Partner
January 2014,,james-midelis-128b8855,
January 1999,,james-midelis-128b8855,
February 2016,,mark-nanninga-7b46087,Construction Manager
March 2012,,mark-nanninga-7b46087,Project Manager
May 2008,,mark-nanninga-7b46087,Project Manager
1998,Rockford Construction,mark-nanninga-7b46087,Project Manager/Superintendent
March 2013,exp Global Inc.,lindsay-dixon-22aa3b10,Lighting Designer
August 2012,Florida State University,lindsay-dixon-22aa3b10,Instructor of Record
May 2012,,lindsay-dixon-22aa3b10,Design Intern
August 2011,"Facilities Design & Construction, Florida State University",lindsay-dixon-22aa3b10,Design Intern
August 2011,Florida State University,lindsay-dixon-22aa3b10,Graduate Teaching Assistant
May 2011,Florida State University,lindsay-dixon-22aa3b10,Interior Design Study Abroad
January 2011,,lindsay-dixon-22aa3b10,Design Intern
August 2010,,lindsay-dixon-22aa3b10,Design Intern
July 2005,MediaSpan,lindsay-dixon-22aa3b10,Technical Support Engineer
January 2005,MediaSpan,lindsay-dixon-22aa3b10,Wireless Marketing Analyst
February 2007,Wharton Smith,jennannan,Project Engineer
February 2004,,jennannan,Administrative Assistant
September 2003,,jennannan,Professional Assistant
June 1998,Gap Inc.,jennannan,Sales Associate
July 2013,"Wharton-Smith, Inc.",dawn-bragg-ab779220,Administrative Manager - Pre-Construction Services
April 2002,Wharton Smith,dawn-bragg-ab779220,Estimating Coordinator
February 1999,,dawn-bragg-ab779220,Front Office Assistant
,,nashraf-nashraf-62137019,community liason
March 2015,Choate Construction Company,welchliles,Project Manager
March 2012,Balfour Beatty Construction,welchliles,Project Manager
May 2010,Lithko Contracting,welchliles,Project Coordinator
January 2010,,welchliles,Estimator
May 2009,,welchliles,Field Engineer Intern
May 2008,,welchliles,Intern
September 2009,,emad-sheashaa-a991a429,HR Manager
October 2007,,emad-sheashaa-a991a429,Asst HR Manager
February 1999,Commercial Facilities Company,emad-sheashaa-a991a429,HR Supervisor
January 2007,Ali Abdulwahab Sons & Co.,abir-baker-459b8b42,Group HR Manager
January 2006,Gulf Bank,abir-baker-459b8b42,HR Analyst
April 2004,The Sultan Center,abir-baker-459b8b42,HR Coordinator
May 2015,"Hill International, Inc.",isla-mcintosh-54a1b36,Corporate Recruiter
May 2014,Amec Foster Wheeler,isla-mcintosh-54a1b36,Senior Recruiter
August 2013,AMEC,isla-mcintosh-54a1b36,Recruiter
February 2013,Kentech Group,isla-mcintosh-54a1b36,Recruiter
